Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	char_freq_; 	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
1381.0	0.0	0.6	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.3	0.0	1.2	0.0	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.3	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.1	3.2	77.0	210.0	Spam
1382.0	0.0	0.0	0.18	0.0	1.7	0.18	0.37	0.56	0.0	0.0	0.37	1.5	0.18	0.0	0.0	1.1	0.0	0.18	3.2	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.56	0.17	3.1	34.0	290.0	Spam
1383.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.45	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.45	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	1.1	4.0	42.0	Spam
1384.0	0.0	0.0	0.0	0.0	1.8	0.36	0.36	0.72	0.36	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	2.9	0.0	2.2	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.36	0.0	0.0	0.0	0.0	0.0	0.3	0.06	0.18	0.0	2.5	11.0	120.0	Spam
1385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.56	0.0	2.2	23.0	65.0	Spam
1386.0	0.42	0.39	0.36	0.0	0.13	0.09	0.09	0.06	0.49	0.91	0.26	0.55	0.42	1.1	0.03	0.26	0.42	0.03	2.8	0.0	1.3	0.0	0.32	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.03	0.1	0.02	0.34	0.51	5.6	130.0	2500.0	Spam
1387.0	0.0	0.33	1.3	0.0	0.0	0.0	1.3	0.33	0.0	0.33	0.33	0.33	0.0	0.0	0.0	0.67	0.67	0.33	0.67	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.05	0.0	2.0	12.0	170.0	Spam
1388.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	1.0	0.0	0.0	1.6	7.6	280.0	3800.0	Spam
1389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	2.2	5.0	11.0	Spam
1390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	0.0	1.7	5.0	15.0	Spam
1391.0	0.29	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.44	0.29	0.0	0.44	0.0	0.0	0.0	0.14	0.0	0.0	3.1	0.0	1.6	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.08	0.05	3.1	60.0	330.0	Spam
1392.0	0.6	0.0	0.36	0.0	1.4	0.0	0.0	0.0	0.24	1.3	0.72	2.5	0.6	0.0	0.0	0.6	0.24	0.0	4.4	0.0	1.8	0.0	0.72	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.04	0.0	0.1	0.22	3.7	54.0	480.0	Spam
1393.0	0.43	0.43	0.43	0.0	0.43	0.0	0.0	0.0	0.0	1.3	0.0	0.87	0.43	0.0	0.0	2.6	0.0	0.0	1.8	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.94	0.07	2.3	28.0	230.0	Spam
1394.0	0.0	0.45	0.0	0.0	0.45	0.45	0.45	0.45	0.0	1.8	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.21	0.0	2.4	14.0	140.0	Spam
1395.0	0.29	0.29	0.0	0.0	0.29	0.0	0.0	1.5	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.58	2.0	0.29	2.0	1.2	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.05	2.2	34.0	230.0	Spam
1396.0	0.12	0.12	0.24	0.0	1.3	0.12	0.0	0.12	0.0	0.0	0.36	0.85	0.0	0.0	0.0	0.24	0.24	0.0	2.3	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.06	0.02	0.0	0.04	0.04	2.3	69.0	250.0	Spam
1397.0	0.0	0.33	0.33	0.0	0.66	0.0	0.0	0.33	0.0	0.33	0.0	0.33	0.0	0.0	0.0	0.66	1.0	0.0	1.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	2.8	34.0	110.0	Spam
1398.0	0.62	0.62	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.62	0.62	0.0	0.0	0.0	0.0	0.62	2.5	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	2.3	0.22	5.2	28.0	160.0	Spam
1399.0	0.0	0.0	0.78	0.0	0.78	0.0	0.52	0.52	0.0	1.0	0.0	0.26	1.6	0.0	0.78	0.0	0.0	1.6	2.1	0.0	1.6	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.44	0.4	2.4	19.0	240.0	Spam
1400.0	0.0	0.72	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.72	0.72	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	7.0	40.0	Spam
1401.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	3.3	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	2.3	12.0	44.0	Spam
1402.0	0.0	0.0	0.0	0.0	0.26	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.52	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.46	0.08	0.08	0.38	0.0	14.0	100.0	1100.0	Spam
1403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	2.4	10.0	44.0	Spam
1404.0	0.25	0.0	0.25	0.0	0.5	0.0	0.25	0.0	0.0	0.0	0.5	0.76	0.0	0.0	0.0	0.5	0.0	0.0	1.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.08	0.04	1.9	18.0	230.0	Spam
1405.0	0.25	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	1.0	0.25	0.0	0.0	0.0	0.0	0.5	3.0	0.0	2.8	0.0	1.3	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.41	1.0	3.4	49.0	270.0	Spam
1406.0	0.0	0.0	0.35	0.0	0.0	0.7	0.35	0.35	0.0	0.0	0.35	1.1	0.0	0.0	0.0	0.7	0.0	1.4	2.1	2.8	2.5	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06	0.0	2.3	21.0	99.0	Spam
1407.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.62	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	3.7	53.0	170.0	Spam
1408.0	0.0	0.0	0.77	0.0	0.77	0.0	0.51	0.51	0.0	1.0	0.0	0.25	1.5	0.0	0.77	0.0	0.0	1.5	1.8	0.0	1.5	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.51	0.43	2.4	19.0	250.0	Spam
1409.0	0.0	0.0	0.74	0.0	0.74	0.0	0.0	0.74	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	1.7	12.0	60.0	Spam
1410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.19	3.5	21.0	78.0	Spam
1411.0	0.49	0.28	0.4	0.0	0.09	0.11	0.02	0.21	0.42	0.75	0.23	0.89	0.54	1.1	0.0	0.16	0.33	0.02	3.2	0.0	1.5	0.0	1.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.06	0.0	0.39	0.87	5.8	190.0	3200.0	Spam
1412.0	0.0	0.0	1.6	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.26	0.0	0.77	0.0	2.1	12.0	34.0	Spam
1413.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.0	1.0	13.0	Spam
1414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.17	0.0	0.17	0.34	3.8	24.0	80.0	Spam
1415.0	0.0	0.19	0.39	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	2.4	0.0	1.2	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.15	0.0	1.4	19.0	150.0	Spam
1416.0	0.0	0.57	0.57	0.0	0.14	0.14	0.0	0.0	0.14	0.0	0.0	0.43	0.14	0.0	0.0	0.0	0.14	0.0	3.3	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	1.4	6.0	160.0	Spam
1417.0	0.0	0.17	0.0	0.0	0.0	0.0	0.17	0.17	0.0	0.17	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.17	0.0	3.4	1.8	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.11	0.22	0.06	0.05	0.03	4.3	85.0	3300.0	Spam
1418.0	0.1	0.2	1.0	0.0	0.8	0.8	0.5	0.0	0.8	0.1	0.3	0.7	0.3	0.0	1.6	0.1	0.0	1.1	1.3	0.2	0.7	0.0	0.6	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.11	0.0	0.49	0.16	8.6	670.0	1400.0	Spam
1419.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.8	0.88	9.3	75.0	290.0	Spam
1420.0	0.0	0.0	0.0	1.3	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.94	0.0	4.6	24.0	130.0	Spam
1421.0	0.84	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.84	0.84	0.0	0.0	0.0	0.0	0.0	2.5	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	2.9	0.3	5.0	23.0	140.0	Spam
1422.0	0.0	0.0	0.76	0.0	0.76	0.0	0.76	0.51	0.0	1.0	0.0	0.25	1.5	0.0	1.0	0.0	0.25	1.8	1.5	0.0	1.8	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.46	0.5	2.5	19.0	250.0	Spam
1423.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	3.9	12.0	82.0	Spam
1424.0	0.08	0.08	0.76	0.0	0.85	1.0	0.25	0.17	0.59	0.08	0.17	0.59	0.17	0.0	2.2	0.25	0.08	0.93	1.6	0.17	0.42	0.0	0.85	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.17	0.08	0.08	0.08	0.0	0.0	0.0	0.06	0.0	0.4	0.12	7.5	670.0	1400.0	Spam
1425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	5.8	25.0	69.0	Spam
1426.0	0.0	0.0	1.2	0.0	3.5	0.0	0.0	0.58	0.58	0.0	0.0	0.58	0.0	0.0	0.0	1.7	0.0	0.0	1.2	0.0	3.5	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.17	0.09	2.2	12.0	100.0	Spam
1427.0	0.74	0.28	0.31	0.0	0.07	0.21	0.0	0.14	0.49	0.35	0.17	0.74	0.56	1.5	0.0	0.17	0.49	0.03	3.2	0.0	1.2	0.0	0.56	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.07	0.0	0.03	0.0	0.01	0.05	0.0	0.68	1.0	5.7	150.0	3100.0	Spam
1428.0	0.32	0.0	0.64	0.0	0.32	0.32	0.0	1.6	0.32	0.64	0.32	0.64	0.0	0.0	0.0	0.0	1.6	0.0	1.3	2.6	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	1.2	0.11	3.6	63.0	320.0	Spam
1429.0	0.09	0.49	0.59	0.0	0.29	0.19	0.0	0.0	0.09	0.39	0.0	1.6	0.19	0.0	0.0	0.0	0.09	0.0	3.7	0.09	1.1	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.77	0.04	0.0	5.8	1.3	5.8	54.0	750.0	Spam
1430.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.31	0.0	0.31	0.0	0.0	0.0	0.31	0.62	0.0	2.8	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	2.1	22.0	110.0	Spam
1431.0	0.0	0.0	0.0	0.0	0.96	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	3.0	67.0	120.0	Spam
1432.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.93	0.0	0.0	0.0	0.0	0.0	2.8	0.0	4.7	0.93	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.15	1.6	10.0	50.0	Spam
1433.0	0.0	1.1	1.1	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	3.7	35.0	81.0	Spam
1434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.17	0.0	0.51	0.34	3.8	23.0	79.0	Spam
1435.0	0.0	0.81	0.0	0.0	2.0	0.0	0.0	0.4	0.0	1.2	0.0	0.81	0.0	0.0	0.0	0.4	0.0	0.0	3.7	0.0	1.6	0.0	1.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	3.2	34.0	170.0	Spam
1436.0	0.6	0.0	0.0	0.0	1.2	0.0	0.6	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.6	3.7	0.0	1.2	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.31	3.2	30.0	74.0	Spam
1437.0	0.25	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.77	1.5	0.0	0.51	0.0	0.0	0.0	0.25	0.0	0.0	1.5	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.16	0.16	9.6	110.0	580.0	Spam
1438.0	0.76	0.19	0.38	0.0	0.19	0.12	0.0	0.25	0.76	0.31	0.25	1.5	0.31	0.38	0.0	0.38	0.44	0.06	3.0	0.69	1.3	0.0	0.44	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	0.44	0.24	3.7	45.0	1100.0	Spam
