Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	"char_freq_; "	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	char_freq_# 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
1.1E3	0.1	0.1	0.71	0	0.6	0.3	0.4	0.1	1.4	0.81	0.1	0.5	0	0	0	0.1	0	1	2.2	0.5	2	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.26	0.98	0.4	0.03	3.2	56	1E3	Spam
1.1E3	0	0	0	0	0	0	0.45	0	0	0.45	0.22	0.22	0	0	0.22	0.22	0	0.22	1.6	0	1.1	13	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.15	1.6	14	1.1E2	1.3E3	Spam
1.1E3	0	0	1.3	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	1.3	0	5.3	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	4.8	25	53	Spam
1.1E3	0	0	0	0	0	0.4	0	0	0	0.81	0	0	0	0	0	0.4	0	0	1.2	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.53	0.33	0.2	0	0	5	18	2.6E2	Spam
1.1E3	0	0	0	0	0.38	0.38	0.38	0.38	0	0	0.38	0	0	0	0	0.38	0	0	3.4	0	2.3	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0.12	0	0	2.1	12	1E2	Spam
1.1E3	0	0	0	0	0	0	1.8	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	1.8	5	16	Spam
1.1E3	0	0.06	0.2	0	0.61	0.13	0	0	0.75	0	0.27	0.75	0.27	0	0	0	0.2	0.13	1.2	0	1.2	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0.03	0.06	0	0.47	0.09	0.02	2.1	1E2	7E2	Spam
1.1E3	0	1.4	0	0	0	0	1.4	0	0	0	0	0	0	0	0	1.4	1.4	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.17	0.17	0.17	9.4	1.3E2	1.6E2	Spam
1.1E3	0	0	0	0	0	2.3	0	0	0	0	0	0.76	0.76	0	0	0	0	0	2.3	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0	2.9	0.87	0	5.6	25	1.6E2	Spam
1.1E3	1.6	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0.81	0	0	3.3	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	2.8	20	65	Spam
1.1E3	0.16	0	0.67	0	0.33	0.16	0.33	0.84	0.16	0.5	0.33	1.5	0	0	0	0	1.7	0.33	2	1.7	3.9	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.22	0	1.1	0.06	0	4.9	63	6.2E2	Spam
1.1E3	0.09	0.49	0.59	0	0.39	0.19	0	0	0.09	0.39	0	1.6	0.19	0	0	0	0.09	0	3.8	0	1.1	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0.04	0	5.2	0.98	0	5.8	54	7.4E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	4.2	26	54	Spam
1.1E3	0.17	0	0.17	0	1.5	0.34	0.05	0.05	0.05	0.05	0.05	0.52	0.29	0.05	0	0	0.69	0.05	4.3	0.23	1	0	0.75	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.05	0	0.01	0.16	0	1.8	12	4.5E2	Spam
1.1E3	0	0	0.27	0	0.54	0.27	0.27	1.1	0	0.81	0	0	0	0	0	0	0	0	2.5	0	1.4	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0.04	0	0.49	0.04	0	2.1	19	2.3E2	Spam
1.1E3	1.6	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0.8	0	0	3.2	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51	0	0	2.9	20	64	Spam
1.1E3	0	0.55	0.55	0	1.1	0.55	2.2	0	0	0.55	0	0.55	0	0	0	0	0	0.55	3.3	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0.17	0	0.5	0	0.08	17	1.5E2	3.9E2	Spam
1.1E3	0	0.55	0.55	0	1.1	0.55	2.2	0	0	0.55	0	0.55	0	0	0	0	0	0.55	3.3	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0.17	0	0.5	0	0.08	17	1.5E2	3.9E2	Spam
1.1E3	0	0	0.31	0	0.63	0.63	0.31	0.31	0	0	0	0.31	0.31	0	0	0.31	0.31	0	2.5	0	3.2	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0.11	0	0	0.16	0.05	1.5	10	1.4E2	Spam
1.1E3	1	0	0.69	0	1	0	0.69	0	0	0.69	0	0.69	0	0	0.34	0.69	0	0	5.9	0	1.4	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0.38	0.06	0	2	12	96	Spam
1.1E3	0	1.6	0	0	0	0	1.6	0	0	1.6	0	0	0	0	0	1.6	1.6	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0.18	0.18	12	1.4E2	1.6E2	Spam
1.1E3	0	0.54	0.54	0	1.1	0.54	2.2	0	0	0.54	0	0.54	0	0	0	0	0	0.54	3.2	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0.16	0	0.49	0	0.08	15	1.5E2	3.8E2	Spam
1.1E3	0.14	0	0.57	0	0.28	0.14	0.28	0.28	0	0.43	0.14	0.28	0	0	0	1.9	0.14	0.14	1	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0.07	0	0.21	0	0	2.3	32	4.8E2	Spam
1.1E3	0	0	0.44	0	0.22	0.22	0	0	0.66	0.44	0.22	0.88	0	0	0	0.22	0	0	1.3	0	1.1	0.22	0.22	0.22	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.26	0	0.13	0.2	0	7.4	75	6.3E2	Spam
1.1E3	0	0	0.29	0	0.88	0.14	0	0	0.88	0	0	0.73	0.14	0	0	0	0.29	0	2.2	0	0.88	0	0.14	0.29	0	0	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.39	0.05	0.02	2.3	49	4.3E2	Spam
1.1E3	0.07	0.37	0.81	0	0.51	0.29	0.07	0	0.07	0.37	0.07	1.5	0.14	0	0.07	0	0.14	0.44	3.5	0	1.9	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0.05	0.07	0	0.17	0.17	0.01	3.4	44	8E2	Spam
1.1E3	0	0	0.31	0	0.63	0.63	0.31	0.31	0	0	0	0.31	0.31	0	0	0.31	0.31	0	2.5	0	3.2	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0.11	0	0	0.16	0.05	1.5	10	1.4E2	Spam
1.1E3	0	0	0.31	0	0.63	0.63	0.31	0.31	0	0	0	0.31	0.31	0	0	0.31	0.31	0	2.5	0	3.2	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0.11	0	0	0.16	0.05	1.5	10	1.4E2	Spam
1.1E3	0.17	0	0.17	0	1.5	0.35	0.05	0.05	0.05	0.05	0.05	0.52	0.29	0.05	0	0	0.64	0.05	4.2	0.23	1.1	0	0.81	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.01	0.05	0	0.01	0.17	0	1.8	13	4.7E2	Spam
1.1E3	0.48	0	0.97	0	0.48	0	0.97	0	0	0	0	0.48	0	0	0	0	0.48	0.48	4.4	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	1.1	0.23	0.08	5.2	58	1.9E2	Spam
1.1E3	1.2	0.41	1.2	0	0	0	0	0	0	0	0	0.41	0	0	0	0.41	0	0.82	3.7	0	1.2	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0.07	0	0.48	0.55	0	3.2	19	1.1E2	Spam
1.1E3	0.34	0.42	0.25	0	0.08	0.42	0.08	0.25	0.08	1.6	0.34	0.51	0.94	0	0.17	0.08	0	0	3	0	0.94	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.06	0	0.26	0.29	0.06	3.3	62	5.4E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0.23	9.5	84	3.2E2	Spam
1.1E3	0	1.6	0	0	0	0	1.6	0	0	1.6	0	0	0	0	0	0	0	0	1.6	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	2	12	Spam
1.1E3	0.17	0	0.08	0	0.43	0.08	0.08	0.43	0.08	0.08	0	0.6	0.17	0.17	0	0	0.17	0.08	1.2	0	3.1	0	0.34	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0.09	0.01	0	4.2	48	1.1E3	Spam
1.1E3	0.17	0	0.08	0	0.43	0.08	0.08	0.43	0.08	0.08	0	0.6	0.17	0.17	0	0	0.17	0.08	1.2	0	3.1	0	0.34	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0.09	0.01	0	4.2	48	1.1E3	Spam
1.1E3	0	0.34	0.69	0	0.34	0.69	0.34	0	0	1	0.34	1.4	0	0	0	0.69	0	0.69	4.9	0	1.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.64	0.17	0	2.2	8	89	Spam
1.1E3	0	0	0.29	0	0.29	0.29	0.29	0.29	0	0	0.58	0.87	0	0	0	0.87	0.58	0.29	2.6	2.6	2.9	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.14	0	0.14	4.9	1.4E2	2.7E2	Spam
1.1E3	0	0	0	0	0.45	0.45	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0.9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	1.1	7.9	45	4.4E2	Spam
1.1E3	0	0	0.4	0	0	0	0.2	0	0.8	0.2	0	0.4	0	1.4	0.2	0.4	0	0	3.4	3	2.2	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.07	0	0.13	0.07	0	2.7	30	1.9E2	Spam
1.1E3	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	1.3	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	1.5	0	29	2.2E2	2.3E2	Spam
1.1E3	0.22	0.22	0.22	0	1.8	0.22	0.44	0.44	0.22	2.9	0	0.88	0.22	0	1.1	0.44	0	0.44	3.3	0	3.3	0	0.44	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0.59	0.16	0	87	1E3	1.7E3	Spam
1.1E3	0	0.9	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	1.8	6.4	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.29	0	0	3	38	75	Spam
1.1E3	0.74	0	0	0	0.74	0	0.74	0	0.74	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0.47	0.23	0	1.9	12	72	Spam
1.1E3	0	0	0	43	1.3	0	0.28	0	0	0	0	0.28	0	0	0	0.14	0	0	1.7	0	0.85	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.03	0.08	0	0.13	0	0	7	1.4E2	8.3E2	Spam
1.1E3	0	0	0.37	0	1.1	0	0.37	0	0	0.75	0	0.37	0	0	0	0.37	0.75	0	2.7	0	1.1	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0.06	0	0.88	0.19	0	4.1	78	2.5E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	2.7	5.3	2.7	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0.51	0	1.8	11	62	Spam
1.1E3	0	0	0.72	0	1.5	0.36	0	0	0	1.5	0	1.1	0	0	0	0.72	0	0	2.5	1.8	0.72	0	0	0	0.36	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.96	0.11	0.17	2.6	47	1.4E2	Spam
1.1E3	0.54	0	1.1	0	0.54	0	1.1	0	0	0	0	0.54	0	0	0	0.54	0.54	0	4.3	0	1.1	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	1.2	0.26	0	5.3	68	1.8E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	1.8	1.8	0	0	1.8	0	0	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63	0	0.63	0.94	0	2.9	9	53	Spam
1.1E3	0	0	0.48	0	0.96	0	0.48	0	0	0	0	0	0	0	0	0.48	0.96	0	1.9	0	1.4	0	0.48	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0.07	0	0.51	0.96	0	6.8	78	3.3E2	Spam
1.1E3	0	0	0	0	0.98	0	0	0	0	0.98	0.98	0.98	0	0	0	0.98	0	0.98	2.9	0	2	0	0	0	0.98	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0.28	0	0	3	18	59	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83	0	0	1.4	3	11	Spam
1.1E3	0	0	0	19	0.18	0	0.18	0	0	0	0	0	0	0	0	1.9	0	0	0.56	0	0	9.5	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	25	1.8E2	1.3E3	Spam
1.1E3	0	0	0.6	0	0	0.6	0	0	0.6	0	0	1.8	0	0	0	0.3	0	0	2.7	0	1.2	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.05	0.19	0.14	0	2	31	2E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	1.3	0	0	2.7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	2.2	11	44	Spam
1.1E3	0.37	0.17	0.3	0.06	0.23	0.17	0.03	0.95	0.37	0.37	0.1	0.64	0.61	0.34	0.2	0.51	0.34	0.34	2.8	0.13	1.4	0	0.27	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0.01	0.04	0.07	0.38	0.14	0	3.3	1.8E2	2E3	Spam
1.1E3	0	0	0.6	0	0	0.6	0	0	0.6	0	0	1.8	0	0	0	0.3	0	0	2.7	0	1.2	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.05	0.19	0.14	0	2	31	2E2	Spam
1.1E3	0.58	0	0	35	0.58	0	0.58	0.58	0	0	0	0	0	0.58	0	0.58	0.58	0.58	0.58	0	1.7	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.24	0	3.3	1.2E2	2.1E2	Spam
1.1E3	0	0	1.4	0	0.46	0	0.46	1.4	0	0.46	0	0	0	0	0	0	0	0	2.8	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0	0	0	0.12	0	0.37	0	0	6.1	54	3.1E2	Spam
1.1E3	0	0	0.3	0	0.3	0.91	0	0.3	0	0	0	0.3	0.3	0	0	0.3	0.3	0.3	2.1	0	3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.21	0	0	0.21	0.05	1.8	11	1.9E2	Spam
1.1E3	0	0	0.3	0	0.3	0.9	0	0.3	0	0	0	0.3	0.3	0	0	0.3	0.3	0.3	2.1	0	3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.21	0	0	0.21	0.05	1.7	11	1.9E2	Spam
1.1E3	1.2	0.59	0	0	0.59	0	0	0.59	0	0	0	0	0.59	0	0	0	0	0.59	3.6	0	6.5	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	1.4	11	1.6E2	Spam
1.1E3	0.5	0.25	0.42	0	0.08	0.23	0.02	0.35	0.35	0.69	0.21	0.9	0.5	0.92	0.02	0.33	0.42	0.02	3	0	1.4	0	0.94	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0.07	0	0.32	0.52	0.12	6.7	4.5E2	4.1E3	Spam
1.1E3	0.58	0	0	35	0.58	0	0.58	0.58	0	0	0	0	0	0.58	0	0.58	0.58	0.58	0.58	0	1.7	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.24	0	3.3	1.2E2	2.1E2	Spam
1.1E3	0	0	0.3	0	0.3	0.91	0	0.3	0	0	0	0.3	0.3	0	0	0.3	0.3	0.3	2.1	0	3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.21	0	0	0.21	0.05	1.8	11	1.8E2	Spam
1.1E3	0	0	0.3	0	0.3	0.91	0	0.3	0	0	0	0.3	0.3	0	0	0.3	0.3	0.3	2.1	0	3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.21	0	0	0.21	0.05	1.8	11	1.8E2	Spam
1.1E3	0.47	0	1.2	0	0.23	0.23	0	0	0	0.47	0	1.4	0	0	0	0.71	1.4	0	5.3	0	2.6	0	0.71	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0.18	0	0.4	0.4	0.09	5.7	49	3.9E2	Spam
1.1E3	0	0	1.8	0	0	0.59	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	10	2E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	3	7	9	Spam
1.1E3	0	0	0.48	0	0.72	0.48	0	0	0.24	0	0.48	0.24	0	0	0	0.48	0	0	1.2	0	1.4	0	0.48	0.24	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0.24	0	0	0.24	0	0	0	0	0.24	0	0.04	0	0.04	0.18	0	2.3	66	2.6E2	Spam
1.1E3	0	0	0.48	0	0.72	0.48	0	0	0.24	0	0.48	0.24	0	0	0	0.48	0	0	1.2	0	1.4	0	0.48	0.24	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0.24	0	0	0.24	0	0	0	0	0.24	0	0.04	0	0.04	0.18	0	2.3	66	2.6E2	Spam
1.1E3	0.34	0.25	0.25	0	0.08	0.43	0.08	0.25	0.08	1.5	0.34	0.51	0.95	0	0.17	0.08	0	0	3	0	0.77	0	0.34	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0.05	0	0.26	0.26	0.06	3.1	62	5.3E2	Spam
1.1E3	0.43	0	0	0	0.87	0.87	0	0	0	0.43	0	2.2	0	0	0	0	1.7	0	0.87	0	0.87	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	5.1	1.1E2	1.8E2	Spam
1.1E3	0.43	0	0	0	0.87	0.87	0	0	0	0.43	0	2.2	0	0	0	0	1.7	0	0.87	0	0.87	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87	0	0	5.1	1.1E2	1.8E2	Spam
1.1E3	0	0	0.29	0	0.29	0.29	0.29	0.29	0	0	0.58	0.87	0	0	0	0.87	0.58	0.29	2.6	2.6	2.9	0	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.14	0	0.14	4.9	1.4E2	2.7E2	Spam
1.1E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	5	15	50	Spam
1.1E3	0	0	0	0	0.36	0.36	0	0.36	0.36	0.36	0	0.36	0	0	0	0	0.73	0	2.9	0	4	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0.65	0.12	0	1.5	13	75	Spam
1.1E3	0	0	0.97	0	0.38	0.19	0	0	0	0.19	0	1.2	0	0	0	0	0	0	0.58	0	0.38	0	0.77	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0.36	0.31	0	7.5	1.9E2	5.4E2	Spam
1.1E3	0.17	0	0.08	0	0.42	0.08	0.08	0.42	0.08	0.08	0	0.6	0.17	0.17	0	0	0.17	0.08	1.2	0	3.2	0	0.34	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0.1	0.01	0	4.1	48	5.7E2	Spam
1.1E3	0.52	0	2.4	0	0.26	0	0.26	0	0.52	0	0.26	0	0	0	0	0.79	0	0	1.3	0	1	0	0	0.52	0	0	0	0	0	0	0	0	0.26	0	0	0.26	0.26	0	0.52	0	0	0	0	0	0	0	0	0	0	0.69	0	0.33	0	0	5.6	71	5.7E2	Spam
1.1E3	0.46	0.31	0.46	0	0.05	0.13	0.05	0.26	0.44	0.75	0.26	0.96	0.57	1.2	0	0.1	0.44	0	3.2	0	1.5	0	1	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.07	0	0.35	0.79	0.16	6.1	2E2	3.2E3	Spam
1.1E3	0.18	0	0.54	0	1.1	0.18	0.54	0	0.54	0.54	0	0.18	0	0	0.18	0.36	0.18	0.54	1.8	0	2	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0.17	0	0.25	0.31	0	3.9	59	4.5E2	Spam
1.1E3	0.17	0	0.08	0	0.42	0.08	0.08	0.42	0.08	0.08	0	0.6	0.17	0.17	0	0	0.17	0.08	1.2	0	3.2	0	0.34	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.03	0.1	0.01	0	4.1	48	5.7E2	Spam
1.1E3	0	0	1.3	0	0	0	0	0	0	0	0	0	1.3	0	0	0	2.5	5.1	2.5	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0.47	0	1.8	11	67	Spam
1.1E3	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0.36	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0.05	0.05	0	18	1.3E2	5E2	Spam
1.1E3	0.37	0.75	1.1	0	0.37	0	0	0.37	0.37	1.9	0.37	2.6	0	0.37	0	0.37	0	0	2.3	0	4.5	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	1.3	0.2	0.06	59	8.4E2	1E3	Spam
